job_name,company_name,city,area_code_name,industry,salary_min,salary_max,salary_avg,degree,head_count,company_size,company_property,major,skills,publish_date,update_date,job_id,recruit_type,source,keyword,degree_clean,degree_level,salary_level,combined_text,skill_keywords,job_direction,is_high_salary
美术教师,温岭市神墨艺术培训有限公司,台州,浙江,,3500.0,8000.0,5750.0,专科及以上,3,1-49人,民营企业,普通话标准，学习力强，热爱教育事业，有目标，做事认真，有责任心,五险一金，带薪年假，岗位晋升，年终奖，绩效奖金，年度旅游，交通补助，住房补助，高温补贴，通讯津贴,2026-06-16,2026-06-18,8nuTDWCPboVv3ADobQHG9d,0,国家大学生就业服务平台,教师,专科及以上,1,5K-8K,美术教师 普通话标准，学习力强，热爱教育事业，有目标，做事认真，有责任心 五险一金，带薪年假，岗位晋升，年终奖，绩效奖金，年度旅游，交通补助，住房补助，高温补贴，通讯津贴 教师,教师,教育/培训类,0
绘画教师,温岭市神墨艺术培训有限公司,台州,浙江,,3500.0,8000.0,5750.0,不限,30,1-49人,民营企业,普通话标准 五官端正 学习能力强 热爱教育事业 有目标 做事认真 有责任心 喜欢小朋友,五险一金，带薪年假，岗位晋升，年终奖，绩效奖金，年度旅游，交通补助，住房补助，高温补贴，通讯津贴,2026-06-16,2026-06-17,Br1q2HPFoTdyqgftnEpzuu,0,国家大学生就业服务平台,教师,不限,0,5K-8K,绘画教师 普通话标准 五官端正 学习能力强 热爱教育事业 有目标 做事认真 有责任心 喜欢小朋友 五险一金，带薪年假，岗位晋升，年终奖，绩效奖金，年度旅游，交通补助，住房补助，高温补贴，通讯津贴 教师,教师,教育/培训类,0
练字教师,温岭市神墨艺术培训有限公司,台州,浙江,,3500.0,8000.0,5750.0,专科及以上,20,1-49人,民营企业,普通话标准 学习能力强 热爱教育事业 有目标 做事认真 有责任心 正能量 人品佳 喜欢小朋友,五险一金，带薪年假，岗位晋升，年终奖，绩效奖金，年度旅游，交通补助，住房补助，高温补贴，通讯津贴,2026-06-16,2026-06-18,GEz3nHd8oJdETTCW7Pfmuz,0,国家大学生就业服务平台,教师,专科及以上,1,5K-8K,练字教师 普通话标准 学习能力强 热爱教育事业 有目标 做事认真 有责任心 正能量 人品佳 喜欢小朋友 五险一金，带薪年假，岗位晋升，年终奖，绩效奖金，年度旅游，交通补助，住房补助，高温补贴，通讯津贴 教师,教师,教育/培训类,0
书法教师,温岭市神墨艺术培训有限公司,台州,浙江,,4000.0,8000.0,6000.0,专科及以上,20,1-49人,民营企业,普通话标准 学习能力强 热爱教育事业 有目标 做事认真 有责任心 正能量 人品佳,五险一金，带薪年假，岗位晋升，年终奖，绩效奖金，年度旅游，交通补助，住房补助，高温补贴，通讯津贴,2026-06-16,2026-06-18,TUYqoh7hJrfbhSiUNBP6mx,0,国家大学生就业服务平台,教师,专科及以上,1,5K-8K,书法教师 普通话标准 学习能力强 热爱教育事业 有目标 做事认真 有责任心 正能量 人品佳 五险一金，带薪年假，岗位晋升，年终奖，绩效奖金，年度旅游，交通补助，住房补助，高温补贴，通讯津贴 教师,教师,教育/培训类,0
销售业务员,浙江康华眼镜有限公司,台州,浙江,,6000.0,8000.0,7000.0,本科及以上,2,100-499人,民营企业,国际经济与贸易 英语 意大利语,五险一金，带薪年假，岗位晋升，技能培训，定期体检，绩效奖金，住房补助，通讯津贴，节日礼物，提供住宿,2026-06-08,2026-06-08,PdvbmiXYvD1XxG9KZz2X5g,0,国家大学生就业服务平台,销售,本科及以上,2,5K-8K,销售业务员 国际经济与贸易 英语 意大利语 五险一金，带薪年假，岗位晋升，技能培训，定期体检，绩效奖金，住房补助，通讯津贴，节日礼物，提供住宿 销售,英语、销售,销售/市场类,0
国内销售员,台州市锐安硬质合金工具有限公司,台州,浙江,,4000.0,8000.0,6000.0,专科及以上,8,100-499人,民营企业,机电一体化 工业机器人 电气工程 计算机应用技术 材料工程 机械设计制造及其自动化 专业不限,岗位晋升，技能培训，扁平管理，提供住宿,2026-06-01,2026-06-01,FhNcDZ5BqYDFuy7XgAfFTu,0,国家大学生就业服务平台,销售,专科及以上,1,5K-8K,国内销售员 机电一体化 工业机器人 电气工程 计算机应用技术 材料工程 机械设计制造及其自动化 专业不限 岗位晋升，技能培训，扁平管理，提供住宿 销售,机械、设计、销售,销售/市场类,0
大客户销售,浙江大洋风机有限公司,台州,浙江,,4000.0,6000.0,5000.0,专科及以上,2,100-499人,民营企业,机械 电子 自动化 机电 电气,技能培训，年度旅游，交通补助，午餐补助，节日礼物，提供住宿,2026-05-30,2026-06-01,QGYVUuLZpTzDZ6khZQgDnX,0,国家大学生就业服务平台,销售,专科及以上,1,5K-8K,大客户销售 机械 电子 自动化 机电 电气 技能培训，年度旅游，交通补助，午餐补助，节日礼物，提供住宿 销售,机械、销售,销售/市场类,0
总经理助理,台州市锐安硬质合金工具有限公司,台州,浙江,,4000.0,13000.0,8500.0,专科及以上,4,100-499人,民营企业,市场营销 企业管理 机电一体化 机械设计制造及其自动化 工商管理 专业不限,岗位晋升，技能培训，扁平管理，提供住宿,2026-06-02,2026-06-02,UbMRz5AmEUBZLVafRazeQ6,0,国家大学生就业服务平台,助理,专科及以上,1,8K-12K,总经理助理 市场营销 企业管理 机电一体化 机械设计制造及其自动化 工商管理 专业不限 岗位晋升，技能培训，扁平管理，提供住宿 助理,机械、设计,销售/市场类,0
厂长助理,台州市锐安硬质合金工具有限公司,台州,浙江,,4000.0,13000.0,8500.0,专科及以上,4,100-499人,民营企业,材料类 机械类 机电一体化,岗位晋升，技能培训，扁平管理，提供住宿,2026-06-02,2026-06-02,CTweDR1hpAGxfvxd6GXLKv,0,国家大学生就业服务平台,助理,专科及以上,1,8K-12K,厂长助理 材料类 机械类 机电一体化 岗位晋升，技能培训，扁平管理，提供住宿 助理,机械,行政/人力类,0
项目助理,浙江永欣电气有限公司,台州,浙江,,5000.0,10000.0,7500.0,专科及以上,2,100-499人,其他,机械设计、机电一体化,五险一金，岗位晋升，技能培训，年终奖，专项奖金，绩效奖金，年度旅游,2026-05-26,2026-05-26,MJs2mrdXVxmNjGzsmhpRwc,0,国家大学生就业服务平台,助理,专科及以上,1,5K-8K,项目助理 机械设计、机电一体化 五险一金，岗位晋升，技能培训，年终奖，专项奖金，绩效奖金，年度旅游 助理,机械、设计,行政/人力类,0
助理,台州佳树园林景观工程有限公司,台州,浙江,,3000.0,8000.0,5500.0,专科及以上,2,1-49人,民营企业,相关专业,弹性工作，年终分红，股权激励，节日礼物,2026-04-26,2026-04-27,8wkfb6q9WqpMcq1YGvf5Qx,0,国家大学生就业服务平台,助理,专科及以上,1,5K-8K,助理 相关专业 弹性工作，年终分红，股权激励，节日礼物 助理,,行政/人力类,0
辅助会计,浙江诚信医化设备有限公司,台州,浙江,,4000.0,6000.0,5000.0,本科及以上,1,500-999人,民营企业,财务管理,岗位晋升，技能培训，专项奖金，绩效奖金，节日礼物，提供住宿，班车接送,2026-05-18,2026-05-19,2NpEvXHYBKH9UzARGe9BGi,0,国家大学生就业服务平台,会计,本科及以上,2,5K-8K,辅助会计 财务管理 岗位晋升，技能培训，专项奖金，绩效奖金，节日礼物，提供住宿，班车接送 会计,会计、财务,财务/审计类,0
行政人事专员,浙江高宇液压机电有限公司,台州,浙江,,5000.0,8000.0,6500.0,本科及以上,2,100-499人,民营企业,材料类相关专业；机械类相关专业,五险一金，岗位晋升，技能培训，股权激励，年终奖，专项奖金，绩效奖金，住房补助，高温补贴，节日礼物,2026-05-07,2026-05-08,857SPp62cjykcrycYn4HAT,0,国家大学生就业服务平台,行政,本科及以上,2,5K-8K,行政人事专员 材料类相关专业；机械类相关专业 五险一金，岗位晋升，技能培训，股权激励，年终奖，专项奖金，绩效奖金，住房补助，高温补贴，节日礼物 行政,机械、行政,行政/人力类,0
自动化设备技术员,浙江水晶光电科技股份有限公司,台州,浙江,,5300.0,8000.0,6650.0,专科及以上,100,5000以上,上市公司,机电一体化、电气自动化、机械设计制造及其自动化 汽车新能源 工业机器人 智能控制 等机械或电气相关专业。,,2026-06-18,2026-06-18,2tVAR4dPLso1hMRBhKoPyk,0,国家大学生就业服务平台,技术,专科及以上,1,5K-8K,自动化设备技术员 机电一体化、电气自动化、机械设计制造及其自动化 汽车新能源 工业机器人 智能控制 等机械或电气相关专业。  技术,机械、设计,制造/工程类,0
人事,台州市控场科技有限公司,台州,浙江,,2000.0,5000.0,3500.0,不限,5,50-99人,民营企业,,带薪年假，岗位晋升，股权激励，节日礼物，提供住宿,2026-06-17,2026-06-17,H3Bp3ZnAuavEfx4MSfXbF5,0,国家大学生就业服务平台,技术,不限,0,5K以下,人事  带薪年假，岗位晋升，股权激励，节日礼物，提供住宿 技术,,行政/人力类,0
生产作业员,浙江九桔科技股份有限公司,台州,浙江,,5500.0,7000.0,6250.0,专科及以上,50,500-999人,民营企业,工业机器人技术 机械制造及其自动化 电气自动化技术 数控技术 智能制造装备技术 机电一体化,岗位晋升，技能培训，年终奖，提供住宿,2026-06-10,2026-06-10,3WFGHFPMXgLo9pKxc5Un5q,0,国家大学生就业服务平台,技术,专科及以上,1,5K-8K,生产作业员 工业机器人技术 机械制造及其自动化 电气自动化技术 数控技术 智能制造装备技术 机电一体化 岗位晋升，技能培训，年终奖，提供住宿 技术,机械,制造/工程类,0
